METER_NUMBER,METER_NAME,MEASURED_HOUR,MEASURED_DAY,MEASURED_VOLUME,USER_FIELD1,
10136295,Bath A GU 1,2020010904,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010905,'2020-01-09 00:00:00',8.759837151,ETX,
10136295,Bath A GU 1,2020010906,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010901,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010902,'2020-01-09 00:00:00',3.900282145,ETX,
10136295,Bath A GU 1,2020010907,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010908,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010903,'2020-01-09 00:00:00',5.255446434,ETX,
10136295,Bath A GU 1,2020010908,'2020-01-09 00:00:00',8.610811234,ETX,
10136295,Bath A GU 1,2020010909,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010910,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010900,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010917,'2020-01-09 00:00:00',8.689454079,ETX,
10136295,Bath A GU 1,2020010918,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010919,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010920,'2020-01-09 00:00:00',8.937226295,ETX,
10136295,Bath A GU 1,2020010921,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010922,'2020-01-09 00:00:00',6.227123737,ETX,
10136295,Bath A GU 1,2020010923,'2020-01-09 00:00:00',2.320033789,ETX,
10136295,Bath A GU 1,2020011000,'2020-01-10 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010911,'2020-01-09 00:00:00',8.589479446,ETX,
10136295,Bath A GU 1,2020010912,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010913,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010914,'2020-01-09 00:00:00',8.774718285,ETX,
10136295,Bath A GU 1,2020010915,'2020-01-09 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010916,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010906,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010907,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010904,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010909,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010910,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010901,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010902,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010903,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010905,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010914,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010911,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010912,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010913,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010915,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010919,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010916,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010917,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010918,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010920,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010921,'2020-01-09 00:00:00',36.35858154,ETX,
10136296,Bath B GU 1,2020010922,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010923,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020011000,'2020-01-10 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010900,'2020-01-09 00:00:00',0,ETX,
