jan9.csv

METER_NUMBER,METER_NAME,MEASURED_HOUR,MEASURED_DAY,MEASURED_VOLUME,USER_FIELD1,
10136295,Bath A GU 1,2020010811,'2020-01-08 00:00:00',8.756231308,ETX,
10136295,Bath A GU 1,2020010812,'2020-01-08 00:00:00',0.13775152,ETX,
10136295,Bath A GU 1,2020010813,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010814,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010815,'2020-01-08 00:00:00',4.112438202,ETX,
10136295,Bath A GU 1,2020010816,'2020-01-08 00:00:00',6.52018261,ETX,
10136295,Bath A GU 1,2020010817,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010818,'2020-01-08 00:00:00',8.829799652,ETX,
10136295,Bath A GU 1,2020010819,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010820,'2020-01-08 00:00:00',8.392062187,ETX,
10136295,Bath A GU 1,2020010821,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010822,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010823,'2020-01-08 00:00:00',9.007479668,ETX,
10136295,Bath A GU 1,2020010807,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010800,'2020-01-08 00:00:00',9.013841629,ETX,
10136295,Bath A GU 1,2020010801,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010802,'2020-01-08 00:00:00',8.606671333,ETX,
10136295,Bath A GU 1,2020010803,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010804,'2020-01-08 00:00:00',7.633310795,ETX,
10136295,Bath A GU 1,2020010805,'2020-01-08 00:00:00',0.178423986,ETX,
10136295,Bath A GU 1,2020010806,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010808,'2020-01-08 00:00:00',9.406705856,ETX,
10136295,Bath A GU 1,2020010900,'2020-01-09 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010805,'2020-01-08 00:00:00',24.09409714,ETX,
10136295,Bath A GU 1,2020010809,'2020-01-08 00:00:00',0,ETX,
10136295,Bath A GU 1,2020010810,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010800,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010801,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010802,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010803,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010804,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010809,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010806,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010807,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010808,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010810,'2020-01-08 00:00:00',15.99793434,ETX,
10136296,Bath B GU 1,2020010816,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010811,'2020-01-08 00:00:00',3.16295886,ETX,
10136296,Bath B GU 1,2020010812,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010813,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010814,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010815,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010820,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010817,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010818,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010819,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010821,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010822,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010823,'2020-01-08 00:00:00',0,ETX,
10136296,Bath B GU 1,2020010900,'2020-01-09 00:00:00',0,ETX,
